variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_23431	9.90E-01	5.62E-01	6.57E-01	8.01E-02	1.80E-01	2.57E-02	bad-chisq
group_19611	9.90E-01	5.62E-01	6.26E-01	8.65E-02	1.78E-01	2.82E-02	bad-chisq
group_18707	9.90E-01	5.62E-01	5.81E-01	9.64E-02	1.75E-01	3.20E-02	bad-chisq
group_18083	9.90E-01	5.62E-01	5.81E-01	9.64E-02	1.75E-01	3.20E-02	bad-chisq
group_17930	9.90E-01	5.62E-01	5.81E-01	9.64E-02	1.75E-01	3.20E-02	bad-chisq
group_17625	9.90E-01	5.62E-01	5.91E-01	9.41E-02	1.75E-01	3.12E-02	bad-chisq
group_17242	9.90E-01	5.62E-01	6.00E-01	9.20E-02	1.75E-01	3.04E-02	bad-chisq
group_17214	9.90E-01	5.62E-01	6.04E-01	9.14E-02	1.76E-01	3.01E-02	bad-chisq
group_17100	9.90E-01	5.62E-01	5.90E-01	9.42E-02	1.75E-01	3.12E-02	bad-chisq
group_17061	9.90E-01	5.62E-01	6.18E-01	8.80E-02	1.76E-01	2.89E-02	bad-chisq
group_17018	9.90E-01	5.62E-01	5.90E-01	9.42E-02	1.75E-01	3.12E-02	bad-chisq
group_16982	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_16969	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_16904	9.90E-01	5.62E-01	6.36E-01	8.50E-02	1.79E-01	2.74E-02	bad-chisq
group_16895	9.90E-01	5.62E-01	5.90E-01	9.42E-02	1.75E-01	3.12E-02	bad-chisq
group_16633	9.90E-01	5.62E-01	5.97E-01	9.30E-02	1.76E-01	3.07E-02	bad-chisq
group_16627	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_16570	9.90E-01	5.62E-01	5.34E-01	1.09E-01	1.75E-01	3.60E-02	bad-chisq
group_16419	9.90E-01	1.76E-01	1.84E-01	-2.32E-01	1.74E-01	7.70E-02	bad-chisq
group_16398	9.90E-01	5.62E-01	5.60E-01	1.02E-01	1.75E-01	3.38E-02	bad-chisq
group_16238	9.90E-01	5.62E-01	5.85E-01	9.55E-02	1.75E-01	3.16E-02	bad-chisq
group_16220	9.90E-01	5.62E-01	5.59E-01	1.02E-01	1.75E-01	3.39E-02	bad-chisq
group_16156	9.90E-01	5.62E-01	5.73E-01	9.84E-02	1.75E-01	3.26E-02	bad-chisq
group_16135	9.90E-01	5.62E-01	6.14E-01	8.87E-02	1.76E-01	2.92E-02	bad-chisq
group_15851	9.90E-01	5.62E-01	5.60E-01	1.02E-01	1.75E-01	3.38E-02	bad-chisq
group_15825	9.90E-01	5.62E-01	5.81E-01	9.71E-02	1.76E-01	3.20E-02	bad-chisq
group_15699	9.90E-01	5.62E-01	5.95E-01	9.45E-02	1.78E-01	3.08E-02	bad-chisq
group_15650	9.90E-01	5.62E-01	5.63E-01	1.01E-01	1.75E-01	3.35E-02	bad-chisq
group_15576	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_15531	9.90E-01	5.62E-01	5.53E-01	1.03E-01	1.74E-01	3.43E-02	bad-chisq
group_15367	9.90E-01	5.62E-01	6.27E-01	8.63E-02	1.78E-01	2.81E-02	bad-chisq
group_15270	9.90E-01	5.62E-01	5.95E-01	9.45E-02	1.78E-01	3.08E-02	bad-chisq
group_15258	9.90E-01	5.62E-01	5.46E-01	1.05E-01	1.74E-01	3.50E-02	bad-chisq
group_15242	9.90E-01	5.62E-01	5.87E-01	9.55E-02	1.76E-01	3.15E-02	bad-chisq
group_15215	9.90E-01	5.62E-01	5.92E-01	9.42E-02	1.76E-01	3.11E-02	bad-chisq
group_15128	9.90E-01	5.62E-01	5.96E-01	9.32E-02	1.75E-01	3.07E-02	bad-chisq
group_15121	9.90E-01	5.62E-01	5.64E-01	1.01E-01	1.74E-01	3.34E-02	bad-chisq
group_15034	9.90E-01	5.62E-01	5.66E-01	1.01E-01	1.75E-01	3.33E-02	bad-chisq
group_14989	9.90E-01	5.62E-01	6.64E-01	7.81E-02	1.79E-01	2.52E-02	bad-chisq
group_14979	9.90E-01	5.62E-01	5.49E-01	1.05E-01	1.74E-01	3.47E-02	bad-chisq
group_14940	9.90E-01	5.62E-01	5.60E-01	1.02E-01	1.75E-01	3.38E-02	bad-chisq
group_14935	9.90E-01	5.62E-01	5.60E-01	1.02E-01	1.75E-01	3.38E-02	bad-chisq
group_14915	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_14878	9.90E-01	5.62E-01	5.88E-01	9.53E-02	1.76E-01	3.14E-02	bad-chisq
group_14873	9.90E-01	5.62E-01	5.47E-01	1.05E-01	1.74E-01	3.49E-02	bad-chisq
group_14775	9.90E-01	5.62E-01	5.53E-01	1.04E-01	1.74E-01	3.44E-02	bad-chisq
group_14729	9.90E-01	5.62E-01	6.05E-01	9.08E-02	1.76E-01	3.00E-02	bad-chisq
group_14727	9.90E-01	5.62E-01	5.58E-01	1.02E-01	1.75E-01	3.40E-02	bad-chisq
group_14584	9.90E-01	5.62E-01	6.08E-01	9.01E-02	1.75E-01	2.98E-02	bad-chisq
group_14518	9.90E-01	5.62E-01	5.95E-01	9.45E-02	1.78E-01	3.08E-02	bad-chisq
group_14480	9.90E-01	5.62E-01	5.64E-01	1.01E-01	1.74E-01	3.34E-02	bad-chisq
group_14387	9.90E-01	5.62E-01	5.51E-01	1.04E-01	1.74E-01	3.45E-02	bad-chisq
group_14229	9.90E-01	5.62E-01	5.95E-01	9.45E-02	1.78E-01	3.08E-02	bad-chisq
group_14128	9.90E-01	5.62E-01	5.60E-01	1.02E-01	1.74E-01	3.38E-02	bad-chisq
group_14088	9.90E-01	5.62E-01	5.64E-01	1.01E-01	1.75E-01	3.34E-02	bad-chisq
group_14082	9.90E-01	1.76E-01	1.76E-01	-2.36E-01	1.74E-01	7.83E-02	bad-chisq
group_14059	9.90E-01	1.76E-01	1.82E-01	-2.33E-01	1.74E-01	7.73E-02	bad-chisq
group_13916	9.90E-01	5.62E-01	5.67E-01	9.99E-02	1.74E-01	3.32E-02	bad-chisq
group_13844	9.90E-01	5.62E-01	5.60E-01	1.02E-01	1.75E-01	3.38E-02	bad-chisq
group_13808	9.90E-01	5.62E-01	5.45E-01	1.06E-01	1.74E-01	3.51E-02	bad-chisq
group_13798	9.90E-01	5.62E-01	6.25E-01	8.62E-02	1.76E-01	2.83E-02	bad-chisq
group_13784	9.90E-01	5.62E-01	6.13E-01	8.88E-02	1.75E-01	2.93E-02	bad-chisq
